driver_id,segment_id,v_car_mean,v_car_std,v_car_min,v_car_max,v_car_skew,v_car_kurtosis,percent_throttle_mean,percent_throttle_std,percent_throttle_min,percent_throttle_max,percent_throttle_skew,percent_throttle_kurtosis,g_lat_mean,g_lat_std,g_lat_min,g_lat_max,g_lat_skew,g_lat_kurtosis,g_long_mean,g_long_std,g_long_min,g_long_max,g_long_skew,g_long_kurtosis,n_engine_mean,n_engine_std,n_engine_min,n_engine_max,n_engine_skew,n_engine_kurtosis,t_tyreFR_mean,t_tyreFR_std,t_tyreFR_min,t_tyreFR_max,t_tyreFR_skew,t_tyreFR_kurtosis,t_tyreFL_mean,t_tyreFL_std,t_tyreFL_min,t_tyreFL_max,t_tyreFL_skew,t_tyreFL_kurtosis,t_tyreRR_mean,t_tyreRR_std,t_tyreRR_min,t_tyreRR_max,t_tyreRR_skew,t_tyreRR_kurtosis,t_tyreRL_mean,t_tyreRL_std,t_tyreRL_min,t_tyreRL_max,t_tyreRL_skew,t_tyreRL_kurtosis,p_tyreFR_mean,p_tyreFR_std,p_tyreFR_min,p_tyreFR_max,p_tyreFR_skew,p_tyreFR_kurtosis,p_tyreFL_mean,p_tyreFL_std,p_tyreFL_min,p_tyreFL_max,p_tyreFL_skew,p_tyreFL_kurtosis,p_tyreRR_mean,p_tyreRR_std,p_tyreRR_min,p_tyreRR_max,p_tyreRR_skew,p_tyreRR_kurtosis,p_tyreRL_mean,p_tyreRL_std,p_tyreRL_min,p_tyreRL_max,p_tyreRL_skew,p_tyreRL_kurtosis,jerk_mean,jerk_max,throttle_changes,throttle_smoothness,throttle_aggressive,corner_count,g_lat_extreme_pct,speed_cv,percent_throttle_dominant_freq,g_lat_dominant_freq,gear_ratio_mean,gear_ratio_std,tire_temp_diff_fr,tire_pressure_diff_lr
SOMD122,SOMD122_27,86.77461,38.821638208580275,28.975,224.635,1.3697539755414212,2.7628716716276367,34.48281,30.21531079194619,0.0,90.0,0.2540590395697678,-1.3558795153094167,0.05412555512200007,0.6458554081994848,-1.384222,0.9963333,-0.17398385930278842,-1.0496291825126634,-0.13167250000000005,0.4675309007100493,-1.5695,0.771,-0.9036189119519029,0.5914959089587235,5104.07627,1805.971959179998,1684.571,9775.571,0.6353498325875105,0.2663133054104114,55.589316999999994,0.29561118214810483,55.263,56.123,0.5245755573491372,-1.286046342887294,62.48083199999999,0.2363121426757415,61.9135,62.7335,-0.7656254652393872,-0.6654159617152224,64.642776,0.4258303181127427,64.1705,65.4675,0.5420086131681329,-1.1777174709098643,69.47023922,0.35892059949408217,68.75933,69.904,-0.4149946408135487,-1.2541167399475295,29.7342896,0.04729693490956891,29.6821,29.8197,0.5246375859232151,-1.285996198721379,30.8369312,0.03780988265731592,30.7462,30.8774,-0.7656887214211113,-0.6654112401281407,31.182846400000003,0.06813307454562718,31.1073,31.3148,0.5419187599782737,-1.1779177024682252,31.9552392,0.05742610646178267,31.8415,32.0246,-0.41500565683416774,-1.2542045306190837,0.05634168336673347,0.94225,300,8.552230584243649,128,271,0.054,0.4473847564534778,0.0,0.002,0.017391069604080187,0.004642202389656753,-8.02143311,-0.16512440000000003
SOMD122,SOMD122_28,104.42526999999998,32.389744580300416,52.875,156.69,0.10836147870484639,-1.308026147497591,40.98198,40.23466565139569,0.0,100.0,0.3401340087399596,-1.543066527328962,0.23751933269200004,0.7212100739232594,-1.207556,1.418222,-0.05846598163763527,-0.9610430888025814,0.031643,0.2786579225520064,-0.68375,0.45025,-0.43052270068448273,-0.45580024357754256,4763.28801,1098.926647624165,2787.0,7583.286,0.37581637328213807,-0.38774992453373036,55.272748,0.14397051606492214,55.0485,55.543,0.045708813988264894,-1.366798708930284,61.032737000000004,0.42355747228800017,60.214,61.9095,0.2634264182587853,-0.6948280781730274,63.818431,0.1996043655309175,63.5975,64.1855,0.786041513347702,-0.990123658218633,67.70143796,0.5167740210171545,66.624,68.755,0.15555599184922916,-0.4770301615575865,29.6836394,0.023037061176287302,29.6477,29.7268,0.045892542938339144,-1.3665646224489225,30.6052394,0.06776668110244151,30.4742,30.7455,0.26344888681780104,-0.694719369109253,31.050948799999997,0.03193663380132608,31.0156,31.1097,0.7860801100803304,-0.9898460362265009,31.672230000000003,0.08268437518660945,31.4998,31.8408,0.15555005381414472,-0.4769363233649444,0.01892685370741483,0.21700000000000003,203,6.343960669325425,81,247,0.332,0.3101715156698078,0.0,0.002,0.021677768035859038,0.0036304074441579647,-7.607191980000001,-0.15015940000000005
SOMD122,SOMD122_29,111.57885,34.33068072770332,65.1,171.185,0.5187908894397899,-1.2862689799641902,42.71275,32.56739690223184,0.0,90.0,-0.20083590837775647,-1.5760084306846938,-0.43665000292399997,0.7198840348879246,-1.538222,0.7807778,-0.018434871031781982,-1.5418374937969415,0.016031499999999994,0.44222295183849286,-1.435,0.4945,-1.675504695574225,2.111252966816255,6160.599722000001,1169.012073043806,3825.286,9643.714,0.26626142366166594,-0.17386577493860678,55.559465,0.2049366786961281,55.284,55.9395,0.3920125124180303,-1.0987290446250857,59.981559999999995,0.1314210881099377,59.784,60.2115,0.15876611752998285,-1.405715325810149,63.557205,0.15362407518029203,63.233,63.8115,-0.11622061014000817,-0.9272350601390467,66.11116607999999,0.2611197270361505,65.69733,66.618,-0.4904954542522127,-1.1161326603960557,29.7295142,0.03278977063597725,29.6854,29.7904,0.3919144345372384,-1.098524060353505,30.437050799999998,0.021026673996616747,30.4054,30.4739,0.1585939777696305,-1.405452407307665,31.009155,0.024580106488784784,30.9573,31.0499,-0.11610514164143064,-0.9271515364769982,31.4177874,0.041779586657122315,31.3516,31.4989,-0.490392636015114,-1.1160640317204582,0.03719088176352705,0.44775,284,10.02014192686717,120,270,0.356,0.3076808949009819,0.0,0.0,0.018076231876761113,0.00409946986266451,-7.063673039999999,-0.14945209999999992
SOMD122,SOMD122_30,130.97404,25.14796635671362,71.13,172.85,-0.4271795615697964,-0.22240189428998614,49.12304,39.31238132139034,0.0,100.0,-0.19274453662060262,-1.608470893211784,0.21601933233419998,0.5891869796825078,-1.200667,1.407111,0.18177042209583824,-0.42851817333869846,0.0110985,0.3383677055700647,-1.07275,0.824,-1.1863147344616258,0.8128361919423508,6551.847967999999,654.3284212192339,5321.714,8724.857,0.4179701163741921,-0.39126561511893376,55.320059,0.08835902341583463,55.166,55.5285,0.11845851168989487,-0.6662609558733235,59.56986,0.18865456103683254,59.12,59.858,-0.10954664242028901,-0.7859767817844081,63.304604999999995,0.08723939749333429,63.197,63.538,0.5243699141312856,-0.9101196414050641,65.68536472,0.08799456238269276,65.45133,65.79967,-0.6758154974256915,-0.5758386871037757,29.691209599999997,0.014135575964211774,29.6665,29.7245,0.11840512227096976,-0.6675573551709757,30.3711764,0.030186031919415924,30.2992,30.4173,-0.10950316964802737,-0.7859072314401856,30.968737400000002,0.013956666551866908,30.9515,31.0061,0.5245131669510822,-0.9097992203294543,31.3496546,0.01407883939960961,31.3122,31.368,-0.6759395426698305,-0.574613297432637,0.03219689378757514,0.59975,220,8.769238914784664,82,183,0.188,0.1920072570465595,0.0,0.004,0.0200028926208391,0.003520677546862544,-7.050025359999999,-0.14952480000000004
SOMD122,SOMD122_31,142.02062,43.714026866849046,77.55,204.195,0.06077767348566726,-1.635257909046363,60.40497,43.99129451094955,0.0,100.0,-0.4205294718236426,-1.6485249821451808,-0.35776755561799994,0.5582516604861015,-1.438333,1.069444,-0.05268761915850663,-0.932323761272206,0.019633499999999998,0.4847239346295477,-1.6055,0.6995,-2.0299531444044363,3.7371521604319984,6326.07972,1247.4717287283418,3294.143,9006.857,-0.32970004272941694,0.11072188024654306,55.842090000000006,0.23859761922533915,55.5315,56.355,0.7773945786829838,-0.49890528303125725,59.304481,0.4507388946374609,58.9225,60.209,0.9472425824604693,-0.7862645201202954,64.219588,0.41311803671105907,63.5415,64.823,0.0342419077604348,-1.5824888104305872,65.73954278,0.4355496222545391,65.318,66.499,0.6958751498239629,-1.2211195951310927,29.7747376,0.038174663668983456,29.725,29.8568,0.7772403646131127,-0.49926783555552934,30.3287194,0.07211585237407925,30.2676,30.4735,0.9472119524887442,-0.7862899316028145,31.115136,0.06609512859507877,31.0067,31.2117,0.03432026258020068,-1.582470028507592,31.358327799999998,0.06969172409375453,31.2909,31.4798,0.6958665845775971,-1.2211049601985933,0.04380861723446893,0.5305,155,8.252591349720765,73,223,0.188,0.3078005613484048,0.0,0.0,0.023460125939023187,0.008473819134759917,-7.4062798899999995,-0.15539500000000006
SOMD122,SOMD122_32,96.27815,27.412139161829383,60.485,165.615,0.6728562321894557,-0.43882963350717175,58.49323,44.70172229027759,0.0,100.0,-0.31735749562021787,-1.7702164431256207,-0.26849576747480003,0.5960324701200369,-1.390667,1.517778,0.17036040128517013,0.08078349377860894,0.12173949999999999,0.24283452290551685,-0.6415,0.81075,-0.23130522238013165,-1.0044576388067477,4649.077128000001,1434.4334530807444,2510.714,8998.429,-0.08418238067047408,-1.2506805355838908,55.650363,0.4347538024342051,54.957,56.3175,-0.16426601821612213,-1.289806103617085,59.606812,0.23332687941169583,59.3335,60.159,0.9673173019419303,-0.3288418274999909,64.14554799999999,0.31369375463340043,63.6865,64.683,-0.06146448853313398,-1.2334500389961176,66.02090082000001,0.165317268594445,65.82167,66.35567,0.4892759083583996,-1.115401839304259,29.7440596,0.06956241634561006,29.6332,29.8508,-0.1642517357100264,-1.2899183215963514,30.377090399999997,0.03733043406980416,30.3333,30.4654,0.9673721944335939,-0.32851926784920193,31.103289,0.050191548880264614,31.0298,31.1893,-0.06145265071026084,-1.2334416549905778,31.403342799999997,0.026450312817809955,31.3714,31.4569,0.4892986548549768,-1.1154106103941548,0.022309118236472945,0.4845,144,3.259172580551024,84,186,0.188,0.2847181720578471,0.0,0.002,0.021213918361481253,0.0028804242965343673,-7.4546369100000005,-0.16648849999999998
SOMD122,SOMD122_33,129.85914000000002,55.21852283301682,61.515,208.835,0.29640129410237287,-1.6796722430216888,46.602199999999996,41.39336406671968,0.0,100.0,0.06012587856310223,-1.7029919569837135,-0.056645998072599985,0.6852428290255592,-1.596556,1.215333,0.09561673420299266,-0.4359914598890029,-0.06308350000000001,0.4501802948850049,-1.4945,0.5455,-1.8089331789756153,2.3392423482176055,5257.17514,1202.6221555557559,3269.857,7949.714,0.27729082667296084,-0.8451117555502514,54.87339299999999,0.25803101373865894,54.4795,55.1825,-0.4196471795501392,-1.4294672093911094,59.801664,0.17129048456934198,59.509,60.071,-0.130928736580855,-1.3409222526903246,63.507884000000004,0.4520531202679613,62.815,64.074,-0.32779642825935856,-1.4817010831546296,66.66545611999999,0.1851866733794458,66.279,66.96033,-0.2476985270267732,-0.9417901028548545,29.6197408,0.041282060696627036,29.5567,29.6692,-0.41962592116877573,-1.429426105759233,30.408264199999998,0.027408447208114556,30.3614,30.4513,-0.13072593115782213,-1.3409174994828406,31.001257400000004,0.07232721953206836,30.8904,31.0918,-0.3277401982793863,-1.481650980223883,31.506473200000002,0.029628935211377407,31.4446,31.5537,-0.24767077114488475,-0.9417898311829314,0.03145941883767535,0.4375,235,10.65449349583944,87,207,0.268,0.4252186053888714,0.0,0.002,0.02387336036356378,0.0063350951465097755,-7.74914156,-0.1416537999999999
SOMD122,SOMD122_34,102.69196,35.77866412903645,44.06,164.07,0.0999321361384055,-1.2131426502171785,43.90612,41.37641588206499,0.0,100.0,0.1949791855417661,-1.650896970418536,0.15042578822599995,0.6688198508230315,-1.241222,1.407444,-0.17662075805568986,-0.6941355322564333,0.04125499999999999,0.38877590071273704,-1.08525,0.65875,-0.9406008152519257,0.4973775289067053,5878.606282,1594.7496099253058,2329.286,8753.143,-0.21216051486112625,-0.3683391707167023,55.041006,0.22138089566175323,54.561,55.4085,-1.09050167942048,-0.05450301360125076,58.841989,0.35742651745358794,58.426,59.5655,0.597178676464874,-1.0692629611051114,62.911909,0.06841743358969252,62.805,63.0325,-0.01993268332379729,-1.4328113272202074,65.5980749,0.36843096066344644,65.19633,66.27567,0.566642189982381,-1.2650668792947612,29.646561000000002,0.035422877057065844,29.5698,29.7053,-1.090619397029396,-0.05473540552624012,30.2547214,0.05718812920563143,30.1882,30.3705,0.5972506402190686,-1.0690956040684012,30.9059044,0.010945880532876418,30.8888,30.9252,-0.020729057948954757,-1.4333631885160238,31.335691399999998,0.05894863616776903,31.2714,31.4441,0.566719095855968,-1.265102849936439,0.03877054108216433,0.76,223,3.9658911271946575,84,240,0.226,0.34840764340878105,0.0,0.002,0.01732174253529206,0.002780367467802674,-7.31349445,-0.08918670000000004
SOMD122,SOMD122_35,118.62532,34.37213071221509,60.825,184.58,0.5973391323384789,-0.9384984439703636,39.682379999999995,37.21213259725381,0.0,95.555,0.1842996213037286,-1.703746541372759,-0.015406451630200003,0.7285526251204937,-1.451111,1.312222,-0.45248484688127105,-0.8007769540631555,-0.04561799999999999,0.48270877952032326,-1.6495,0.72125,-1.7139668126219856,2.004055418481692,5651.459706000001,1267.9848049125399,3095.571,9431.143,0.9776899919979232,1.0302742771926852,55.638108,0.2095373292184472,55.4115,56.112,1.0732422986627272,0.023015890154957308,58.135526,0.15757587164283754,57.9625,58.583,1.4875512988673887,1.4046321767783914,62.966891000000004,0.14244266081128917,62.7405,63.235,0.012398550441896758,-0.8930904332768428,64.7969051,0.18875426331977216,64.62767,65.332,1.492078204769596,0.9714615675680967,29.742098400000003,0.03352421389742055,29.7058,29.8179,1.0732539619846764,0.023349623617160642,30.1416838,0.025212768145524995,30.114,30.2133,1.4876731370562208,1.4049276433014342,30.9147022,0.02279163827284027,30.8785,30.9576,0.012488820453327228,-0.8926928651913117,31.2075038,0.030200084860145717,31.1804,31.2931,1.4920261331288307,0.9712404318096008,0.0348061122244489,0.49700000000000005,259,6.452148293408182,100,240,0.23,0.2897537424764068,0.0,0.004,0.020769541862008956,0.0023594190889944747,-6.9950810500000005,-0.05339189999999999
SOMD122,SOMD122_36,115.09403,23.309616303343564,66.075,162.24,-0.2447581409973521,-0.519713189849798,64.80431,35.351738757434546,0.0,100.0,-0.6191308022814412,-1.015349218228723,-0.19041422654860002,0.6530438657816384,-1.505889,1.062444,-0.09801951210792008,-0.664380592669346,0.1215795,0.15597515204272122,-0.1875,0.465,-0.41790984931577946,-0.5486935599463831,4784.398595999999,417.7435041104156,3525.714,5656.571,-0.43988125361329056,0.07745826931543931,55.653783,0.15965407420733133,55.3905,56.036,0.3906175478226301,-0.1400624148591838,58.027188,0.1451052261498531,57.7795,58.21,-0.368873934256804,-1.5799779099373934,62.736411000000004,0.11224712280945107,62.618,63.0805,1.5321492738293887,1.5104907972189254,64.54203874,0.0785389823120487,64.37567,64.62567,-0.7462588391657562,-0.857134501183983,29.744604199999998,0.02554377267280619,29.7025,29.8057,0.3906867654231271,-0.1397584174030202,30.1243488,0.02321756185649123,30.0847,30.1536,-0.3689941133187425,-1.5797743650561133,30.877822799999997,0.017959374158360873,30.8589,30.9329,1.5322079030169062,1.5104202956814285,31.1667234,0.012565501678802939,31.1401,31.1801,-0.7465467253109244,-0.8565798914982423,0.0218311623246493,0.23399999999999999,268,4.973260192741886,115,220,0.18,0.20252671750929954,0.0,0.002,0.02391255582176914,0.00369688752384261,-6.79873937,-0.045422000000000094
